employee,2023_office_location_type,2024_office_location_type,2023_home_location_type,2024_home_location_type,2023_mode,2024_mode,,,office urban changed?,home urban changed?,Mode Changed?,,,,employee,2023_office_location_type,2023_home_location_type,2023_mode,2024_mode,mode_shift
1297526071,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,1297526071,urban,urban,public_transport,car,public_transport ? car
1298358740,urban,urban,urban,urban,bike,walking,,,no,no,yes,,,,1298358740,urban,urban,bike,walking,bike ? walking
1311416764,urban,urban,urban,urban,car,spostamento multimodale,,,no,no,yes,,,,1311416764,urban,urban,car,spostamento multimodale,car ? spostamento multimodale
1312465436,urban,urban,urban,urban,car,bike,,,no,no,yes,,,,1312465436,urban,urban,car,bike,car ? bike
1323780794,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,1323780794,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
1340670984,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,1340670984,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
1344560360,urban,urban,urban,urban,car,walking,,,no,no,yes,,,,1344560360,urban,urban,car,walking,car ? walking
1347350319,urban,urban,peri_urban,peri_urban,car,spostamento multimodale,,,no,no,yes,,,,1347350319,urban,peri_urban,car,spostamento multimodale,car ? spostamento multimodale
1349302478,urban,urban,urban,urban,car,public_transport,,,no,no,yes,,,,1349302478,urban,urban,car,public_transport,car ? public_transport
1357537833,urban,urban,urban,urban,public_transport,spostamento multimodale,,,no,no,yes,,,,1357537833,urban,urban,public_transport,spostamento multimodale,public_transport ? spostamento multimodale
1372843602,urban,urban,urban,urban,carpooling_driver,car,,,no,no,yes,,,,1372843602,urban,urban,carpooling_driver,car,carpooling_driver ? car
1407542528,urban,urban,urban,urban,car,walking,,,no,no,yes,,,,1407542528,urban,urban,car,walking,car ? walking
1412975704,urban,urban,peri_urban,peri_urban,public_transport,car,,,no,no,yes,,,,1412975704,urban,peri_urban,public_transport,car,public_transport ? car
1426235166,urban,urban,peri_urban,peri_urban,spostamento multimodale,car,,,no,no,yes,,,,1426235166,urban,peri_urban,spostamento multimodale,car,spostamento multimodale ? car
1435638521,urban,urban,urban,urban,bike,motorcycle,,,no,no,yes,,,,1435638521,urban,urban,bike,motorcycle,bike ? motorcycle
1435664697,urban,urban,urban,urban,walking,bike,,,no,no,yes,,,,1435664697,urban,urban,walking,bike,walking ? bike
1437250147,urban,urban,urban,urban,bike,car,,,no,no,yes,,,,1437250147,urban,urban,bike,car,bike ? car
1438755199,urban,urban,urban,urban,car,carpooling_passenger,,,no,no,yes,,,,1438755199,urban,urban,car,carpooling_passenger,car ? carpooling_passenger
1438845012,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,1438845012,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
1486624933,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,1486624933,urban,urban,public_transport,car,public_transport ? car
1490219925,urban,urban,urban,urban,public_transport,walking,,,no,no,yes,,,,1490219925,urban,urban,public_transport,walking,public_transport ? walking
1495737879,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,1495737879,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
1496579521,urban,urban,urban,urban,public_transport,spostamento multimodale,,,no,no,yes,,,,1496579521,urban,urban,public_transport,spostamento multimodale,public_transport ? spostamento multimodale
1511406772,urban,urban,peri_urban,peri_urban,spostamento multimodale,motorcycle,,,no,no,yes,,,,1511406772,urban,peri_urban,spostamento multimodale,motorcycle,spostamento multimodale ? motorcycle
1523195758,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,1523195758,urban,urban,public_transport,car,public_transport ? car
1528357612,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,1528357612,urban,urban,public_transport,car,public_transport ? car
1529646791,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,1529646791,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
1538118812,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,1538118812,urban,urban,public_transport,car,public_transport ? car
1558978607,urban,urban,urban,urban,public_transport,spostamento multimodale,,,no,no,yes,,,,1558978607,urban,urban,public_transport,spostamento multimodale,public_transport ? spostamento multimodale
1560876560,urban,urban,urban,urban,carpooling_driver,car,,,no,no,yes,,,,1560876560,urban,urban,carpooling_driver,car,carpooling_driver ? car
1563135375,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,1563135375,urban,urban,public_transport,car,public_transport ? car
1566525121,urban,urban,urban,urban,bike,car,,,no,no,yes,,,,1566525121,urban,urban,bike,car,bike ? car
1571926618,urban,urban,peri_urban,peri_urban,motorcycle,car,,,no,no,yes,,,,1571926618,urban,peri_urban,motorcycle,car,motorcycle ? car
1585358366,urban,urban,urban,urban,motorcycle,bike,,,no,no,yes,,,,1585358366,urban,urban,motorcycle,bike,motorcycle ? bike
1607210857,urban,urban,urban,urban,walking,public_transport,,,no,no,yes,,,,1607210857,urban,urban,walking,public_transport,walking ? public_transport
1625389928,urban,urban,urban,urban,public_transport,walking,,,no,no,yes,,,,1625389928,urban,urban,public_transport,walking,public_transport ? walking
