"textid","description"
defval_3174435349,turni
defval_2905737521,telelavoro
defval_3024226669,orario libero
defval_2967669165,rigido
defval_3026389470,mezz?ora
defval_2810120478,un?ora
defval_3019573617,due ore o più
defval_2822113649,resto nei pressi della sede di lavoro
defval_3051489667,torno a casa
defval_2827028819,svolgo attività richiedenti l?utilizzo di un mezzo privato
defval_2645559619,resto in ufficio
defval_2724464882,vado alla mensa aziendale
defval_2636712126,auto privata/auto aziendale
defval_2907900375,auto privata come conducente insieme a dei colleghi
defval_2873297195,auto privata come passeggero insieme a dei colleghi
defval_2863335705,"motocicletta, ciclomotore, scooter"
defval_2908359089,bicicletta/monopattino
defval_2870086071,navetta aziendale
defval_3069380976,uno o più mezzi pubblici
defval_2832075182,combinazione di mezzi pubblici e privati
defval_2768964016,treno
defval_2799634674,tram
defval_2755004704,metropolitana
defval_3049261483,"autobus urbano, filobus"
defval_3130067460,"corriera, autobus extra-urbano"
defval_2618755341,economicità
defval_2666924253,difficoltà del parcheggio
defval_3368094256,sicurezza
defval_2746288407,alternativa meno stressante
defval_3025537500,salute
defval_187236874,tempo di viaggio
defval_3116304851,comfort
defval_2699167959,accompagnamento di persone
defval_3125742013,autonomia di movimento
defval_2907441534,mancanza di alternative valide
defval_2903837148,servizio pubblico non efficiente
defval_2722892005,rispetto dell?ambiente
defval_2981955961,attività extralavorative
defval_2887387578,mancanza di percorsi ciclabili
defval_3083667995,no
defval_3029731758,"sì, per commissioni o acquisti"
defval_2972125681,"sì, per accompagnare i figli a scuola o altri familiari"
defval_2575501482,"sì, per attività ricreative"
defval_2951285159,"sì, per altri motivi"
defval_2846361983,sì
defval_3130001920,"no, vado a piedi"
defval_2881554805,"no, vado in bicicletta"
defval_2705197270,"no, vado in moto/motociclo"
defval_3226405411,"no, vado con il trasporto pubblico"
defval_2908359079,"no, vado con l?autobus aziendale"
defval_2873035089,"no, vado in automobile"
defval_2778794203,"no, vado in automobile con dei colleghi come conducente"
defval_3031763424,"no, vado in automobile con dei colleghi come passeggero"
defval_2861304232,abbonamento trasporto pubblico locale
defval_2938898752,abbonamento bike sharing
defval_2986215784,abbonamento car sharing
defval_3061320047,abbonamento scooter sharing
defval_2651654396,abbonamento monopattino sharing
defval_2912356739,abbonamento parcheggio
defval_2873624916,nessuno dei precedenti
defval_2981759338,niente
defval_3162638873,meno di 20 euro
defval_2877753712,da 20 a 40 euro
defval_3037530544,da 40 a 60 euro
defval_3060271576,da 60 a 80 euro
defval_2888763658,da 80 a 100 euro
defval_2787772639,più di 100 euro
defval_2889877820,tra 50 euro e 150 euro
defval_2677672034,tra 150 euro e 250 euro
defval_2689665211,tra 250 euro e 350 euro
defval_191365649,tra 350 euro e 450 euro
defval_2892695852,in auto come passeggero
defval_3148745239,meno di 100 m
defval_2836793709,da 100 m a 200 m
defval_3083667851,da 200 m a 300 m
defval_190185997,da 300 m a 500 m
defval_2789607715,da 500 m a 1 km
defval_2924022034,da 1 km a 2 km
defval_3077835285,da 2 km a 5 km
defval_2921138447,più di 5 km
defval_2729052389,in bicicletta
defval_2795833622,in motociclo
defval_2605648125,in auto come conducente
defval_2999191939,"0"
defval_3253078630,"1"
defval_2925267323,"2"
defval_3325233727,più di 2
defval_2560755932,puntualità
defval_2826766680,"informazione (orari, linee, etc)"
defval_2717190338,vicinanza alle fermate
defval_2803632353,piedi
defval_2608859268,bici
defval_3307932214,trasporto pubblico locale
defval_3097758261,non sono disposto ad utilizzare un'app di gamification
defval_2726037785,non posseggo un?automobile
defval_2808351034,"no, mi sento sicuro solo con il mezzo privato"
defval_3060926961,"sì, utilizzerei il trasporto pubblico al posto del mezzo privato se fossero facilmente disponibili i dispositivi di protezione, se fossero prenotabili le corse e correttamente sanificati"
defval_2710898883,più di 60 anni
defval_2999585172,"informazione (orari, percorsi, etc)"
defval_2516125728,adeguatezza del percorso
defval_3052603779,adeguatezza degli orari
defval_2894989681,auto
defval_2685012324,motociclo a benzina
defval_2792950093,motociclo elettrico
defval_3170830910,bicicletta tradizionale
defval_2636318962,monopattino
defval_3004631446,nessuno
defval_2871199986,auto elettrica
defval_2886928720,auto a benzina
defval_2755528894,auto diesel
defval_2715945195,auto gpl
defval_2442594447,auto a metano
defval_2918975845,auto ibrida
defval_3006990809,euro 0
defval_2757298456,euro 1
defval_2827815111,euro 2
defval_2938177913,euro 3
defval_2990475645,euro 4
defval_3139439202,euro 5
defval_2927298990,euro 6
defval_2765359384,parcheggio multipiano o custodito in convenzione
defval_2807105792,parcheggio esterno alla sede gratuito
defval_2767587604,parcheggio esterno alla sede a pagamento
defval_3096185287,sulla strada
defval_2838825180,più di 60 euro
defval_3010333231,non so
defval_2919041454,"sì, se fosse fornito l?abbonamento dall?azienda"
defval_3000043886,"sì, in presenza di parcheggi di scambio lungo il percorso"
defval_2802190621,"sì, in presenza di mezzi aziendali di collegamento con le principali fermate del trasporto pubblico"
defval_2857306504,"sì, se le fermate del trasporto pubblico fossero più vicine alla sede di lavoro"
defval_2994735486,"sì, se ci fosse maggiore affidabilità del trasporto pubblico (es. rispetto degli orari e delle corse)"
defval_3147303476,"sì, se durante le ore di lavoro potessi usufruire di mezzi aziendali per eventuali spostamenti"
